;placeID;latitude;longitude;the_geom_meter;address;city;state;country;fax;zip
0;0;18.915421;-99.184871;0101000020957F000088568DE356715AC138C0A525FC464A41;Revolucion;Cuernavaca;Morelos;Mexico;?;?
1;1;22.1473922;-100.983092;0101000020957F00001AD016568C4858C1243261274BA54B41;esquina santos degollado y leon guzman;s.l.p.;s.l.p.;mexico;?;78280
2;2;22.149708800000003;-100.97609279999999;0101000020957F0000649D6F21634858C119AE9BF528A34B41;Universidad 169;San Luis Potosi;San Luis Potosi;Mexico;?;78000
3;3;23.7526973;-99.1633594;0101000020957F00005D67BCDDED8157C1222A2DC8D84D4941;calle emilio portes gil;victoria ;tamaulipas;?;?;?
4;4;23.7529035;-99.165076;0101000020957F00008EBA2D06DC8157C194E03B7B504E4941;lic. Emilio portes gil;victoria;Tamaulipas;Mexico;?;?
6;5;23.754356899999998;-99.171288;0101000020957F00008A20E615808157C16272FECBF84F4941;Calle Mezquite Fracc Framboyanes;Cd Victoria;Tamaulipas;Mexico;?;87018
7;6;22.1499013;-100.9937793;0101000020957F00008A2A0747DE4758C11EB31D2A31A84B41;?;?;?;?;?;?
8;7;23.760268300000003;-99.16586459999999;0101000020957F0000A478418BBA8057C133851EB22C4E4941;tampico;victoria;Tamaulipas;Mexico;?;?
11;8;22.140129;-100.944872;0101000020957F000038E5D546B74A58C18FD29AD0D29A4B41;Industrias 908 Valle Dorado;San Luis Potosi;SLP;Mexico;?;78399
14;9;22.141420999999998;-101.01395500000001;0101000020957F0000FA1A0E5A9B4858C17C884C4173AE4B41;Lateral Salvador Nava Martinez 3145;San Luis Potosi;SLP;Mexico;?;78290
15;10;22.1430781;-100.9354788;0101000020957F0000550FC1FC854A58C16D7D4E35F8974B41;Ricardo B. Anaya;San Luis Potosi;San Luis Potosi;Mexico;?;?
16;11;22.1378633;-100.9383273;0101000020957F0000FEC3FB453E4B58C19B4A463617994B41;carr. mexico;San Luis Potosi;San Luis Potosi;Mexico;?;?
17;12;22.1500193;-100.9799203;0101000020957F0000F9F19DDC3B4858C191B265A83BA44B41;agustin de iturbide;san luis potosi;san luis potosi;mexico;?;?
18;13;22.1513782;-100.97463370000001;0101000020957F0000C1B7D30B2C4858C1CE557111A5A24B41;Plaza del Carmen;San Luis Potosi;San Luis Potosi;Mexico;?;?
19;14;23.738212;-99.1519547;0101000020957F000003B195E25F8457C1C535BD04614B4941;?;victoria;tamaulipas;mexico;?;?
21;15;22.150642899999998;-100.9870148;0101000020957F0000AF95272CF14758C165B2F91238A64B41;Av. V. Carranza;San Luis Potosi;San Luis Potosi;Mexico;?;?
22;16;18.948657;-99.235361;0101000020957F0000DEF36F4FC76A5AC162B083D9A0544A41;Domingo 10 711 El Empleado;Cuernavaca;Morelos;Mexico;?;62250
23;17;22.136872;-100.9345736;0101000020957F0000C74DE39C7F4B58C1061F291714984B41;?;San Luis Potosi;San Luis Potosi;Mexico;?;?
25;18;22.159357;-100.973411;0101000020957F0000C66BB014FC4658C17CFE8D93D2A14B41;Tangamanga 7 Tangamanga;San Luis Potosi;SLP;Mexico;?;78269
26;19;18.9257734;-99.2326355;0101000020957F000000DD3546816E5AC119D4BD17FD544A41;avenida salvador montiel ;cuernavaca;morelos;mexico;?;62320
30;20;22.140626;-100.915657;0101000020957F000011E92CCE714B58C19BF8C0CA75924B41;Ricardo B. Anaya 2700 Estrella de Oriente;San Luis Potosi;SLP;Mexico;?;78000S
32;21;22.178931;-101.012861;0101000020957F0000B3C05AB5E54258C180F99573E7AB4B41;Satelite 606 Satelite;San Luis Potosi;SLP;Mexico;?;62460
34;22;22.14955;-100.97797;0101000020957F0000C7080D105C4858C108B4006AB4A34B41;1a. de Lozada 1;San Luis Potosi;SLP;Mexico;?;?
35;23;22.147879999999997;-100.98947199999999;0101000020957F0000C57C76034C4858C10E437A7E15A74B41;Anahuac 805;San Luis Potosi;SLP;Mexico;?;?
36;24;22.145992;-100.955118;0101000020957F000095669021894958C182C9C10E669D4B41;Costado Sur Central Camionera Km 2;San Luis Potosi;SLP;Mexico;?;78390
37;25;22.156376;-100.998355;0101000020957F00009FF49E27C04658C1BA8689941CA94B41;Nereo Rodriguez Barragan 450 E Centro;San Luis Potosi;SLP;Mexico;?;78000
39;26;22.160380800000002;-100.9880447;0101000020957F0000F78F04596C4658C1C151AA1AEFA54B41;venustiano carranza;san luis potosi;san luis potosi;?;?;?
40;27;22.15106;-100.977659;0101000020957F0000D2002719234858C1CC7A9FC186A34B41;Francisco I. Madero 215;San Luis Potosi;SLP;Mexico;?;?
41;28;23.7588052;-99.16512970000001;0101000020957F0000A15C8F5FF78057C1C93CEA9E0A4E4941;cd. mier;victoria;Tamaulipas;Mexico;?;?
42;29;22.141282;-101.00295799999999;0101000020957F000011DFB4E3EE4858C13F78758452AB4B41;Agricultura 595 del Valle;San Luis Potosi;SLP;Mexico;?;78200
44;30;22.1412384;-100.9239252;0101000020957F0000BC62C18D1F4B58C169E0A959C8944B41;Ricardo B. Anaya;San Luis Potosi;San Luis Potosi;Mexico;?;?
45;31;22.1534997;-100.97624300000001;0101000020957F00001EF62687CD4758C1BE336F4EFAA24B41;?;?;?;?;?;?
46;32;22.147622;-101.01027490000001;0101000020957F000068BE7C87C24758C1920A360A08AD4B41;venustiano carranza;san luis potos;mexico;?;?;?
47;33;22.145108;-100.989547;0101000020957F000005810F19B84858C136805B2745A74B41;Santos Degollado 745 los Alamitos;San Luis Potosi;SLP;Mexico;?;78250
53;34;22.140517000000003;-101.021422;0101000020957F000026D92BB4894858C161A7552DA2B04B41;Cordillera de Los Alpes 160 Lomas 2 Seccion;San Luis Potosi;SLP;Mexico;?;78210
54;35;22.156882999999997;-100.97848499999999;0101000020957F00004C95C918394758C17A5C44896AA34B41;Ignacio Allende 785 Centro;San Luis Potosi;SLP;Mexico;?;78310
55;36;22.148854;-101.008472;0101000020957F00006610DA0F9F4758C12ED00BA771AC4B41;Venustiano Carranza 2175 Jardin;San Luis Potosi;SLP;Mexico;?;78270
57;37;22.149689000000002;-100.999525;0101000020957F0000CDA37BD8BD4758C1F4FBE3D2D7A94B41;Venustiano Carranza 303 Centro;San Luis Potosi;SLP;Mexico;?;78000
