;userID;placeID;rating;food_rating;service_rating
0;77;87;2;2;2
2;77;1;2;2;2
3;77;35;1;2;2
4;68;45;1;1;2
5;68;58;0;0;0
6;68;88;1;1;1
7;68;5;0;0;0
8;68;46;1;1;1
9;67;60;2;2;2
10;67;64;1;1;1
11;67;5;1;2;2
12;67;46;1;0;1
13;67;45;0;0;0
14;67;74;1;0;0
15;103;60;1;2;1
16;103;5;0;0;2
17;103;46;1;2;0
18;103;4;2;2;2
19;103;3;1;2;2
20;103;45;1;2;0
21;103;88;1;0;2
22;103;64;2;2;2
24;107;60;2;2;2
25;107;64;2;2;2
26;44;81;2;2;2
27;44;90;1;2;1
28;70;28;2;2;1
29;70;7;1;1;1
30;70;4;1;1;0
31;31;88;0;0;0
32;31;48;0;0;0
33;31;14;0;0;0
34;82;46;1;1;1
35;23;66;0;0;0
36;23;55;0;0;0
37;82;4;0;0;0
38;82;78;0;0;0
39;82;28;0;0;0
40;82;7;0;0;0
41;82;88;0;0;0
42;82;74;0;0;0
44;60;55;2;2;2
45;60;64;2;1;2
46;60;58;1;2;1
47;15;51;0;0;0
48;123;64;1;2;1
49;123;28;1;2;1
50;123;45;2;2;2
51;123;60;1;2;0
52;123;3;1;2;1
53;123;58;1;1;1
54;123;4;1;2;1
55;123;78;1;1;1
56;21;58;2;2;1
57;26;89;2;2;2
58;21;14;2;2;2
59;21;66;2;2;1
61;83;34;2;2;2
62;83;39;1;1;1
63;83;29;2;2;1
64;108;76;2;2;2
65;108;62;1;2;1
66;108;37;2;2;1
67;108;86;1;1;1
68;108;87;1;2;1
69;108;85;2;1;2
70;108;9;1;1;0
71;108;39;2;2;2
72;108;29;1;2;1
73;108;82;1;1;1
75;12;16;2;2;2
77;93;94;2;2;2
80;93;75;2;2;1
81;93;0;2;2;2
82;30;38;2;2;2
84;30;79;2;2;2
85;12;79;2;2;2
86;12;38;2;2;2
87;30;81;1;0;1
88;93;68;2;2;2
91;30;68;0;0;0
92;30;94;0;0;0
93;30;93;0;0;0
96;66;0;1;1;1
98;127;40;2;1;1
101;17;19;1;1;1
102;66;94;2;1;0
104;17;16;0;0;1
105;66;68;1;2;1
106;100;40;2;1;0
111;100;19;2;2;2
112;100;75;2;2;1
113;133;16;1;1;1
114;133;79;2;2;2
115;133;80;1;1;0
116;133;68;0;0;0
117;133;40;2;2;2
121;133;94;1;2;0
124;72;59;2;1;2
125;72;81;0;1;0
127;26;60;0;2;0
129;26;48;2;2;2
130;23;58;0;0;0
131;23;64;2;2;2
132;80;14;1;1;1
134;80;64;1;1;1
135;80;28;2;2;2
137;63;60;2;1;1
138;63;7;1;0;1
139;63;45;1;2;1
140;63;3;1;2;1
142;80;66;1;1;1
143;82;5;0;0;0
144;82;64;0;0;0
147;74;75;2;2;2
148;117;38;1;1;1
149;117;80;0;0;1
150;117;81;1;1;2
152;117;59;1;2;2
154;118;90;0;0;0
155;118;19;0;0;0
156;118;40;2;0;0
157;118;16;0;0;0
160;20;81;1;2;0
161;20;19;2;2;2
163;20;93;2;2;1
164;51;81;1;1;1
165;51;93;1;1;1
166;51;19;1;2;1
168;55;76;2;2;2
169;55;62;2;2;2
170;55;86;2;2;2
171;55;22;2;2;2
172;83;62;2;2;2
173;83;72;0;0;0
174;55;2;2;2;2
175;83;92;1;2;2
176;83;37;2;2;2
177;83;70;2;2;2
178;83;49;1;2;2
179;55;54;2;2;2
181;55;83;2;2;2
182;55;1;2;2;2
184;53;85;2;2;1
185;53;1;1;2;0
187;35;38;1;2;1
188;35;59;2;1;2
189;53;18;2;1;2
190;53;21;2;2;0
191;53;83;1;2;1
192;35;90;1;0;2
194;53;22;2;1;2
196;53;35;2;2;1
199;64;18;1;2;1
200;81;8;1;0;1
201;64;24;1;1;2
203;81;71;0;0;1
204;64;8;0;0;1
205;81;69;0;0;0
206;64;35;1;0;1
207;64;41;2;0;2
208;81;1;1;0;1
209;81;85;0;1;1
210;81;86;1;2;2
211;81;87;1;2;1
212;81;41;0;1;1
213;81;23;1;1;1
214;81;67;0;1;1
216;1;1;2;2;1
220;14;8;1;0;1
222;88;24;1;2;2
224;14;24;1;0;2
226;88;27;2;2;2
227;88;8;1;2;2
229;14;71;1;0;0
230;14;18;1;1;0
231;88;51;0;0;0
232;88;20;2;2;2
235;88;85;2;2;2
245;56;67;2;2;2
246;56;87;2;2;2
247;56;41;2;2;2
248;56;1;2;2;2
251;134;44;0;0;0
252;134;49;1;1;1
253;134;1;1;2;1
254;134;33;2;1;0
256;134;29;2;1;1
257;134;87;2;1;2
258;134;25;1;1;2
259;134;36;2;2;2
260;134;83;2;1;1
261;134;62;0;0;0
262;134;76;2;1;1
265;134;37;2;2;2
266;106;27;1;1;1
267;126;8;0;0;0
