;userID;placeID;rating;food_rating;service_rating
0;77;87;1;1;1
2;77;1;1;1;1
3;77;35;0;1;1
4;68;45;0;0;1
5;68;58;-1;-1;-1
6;68;88;0;0;0
7;68;5;-1;-1;-1
8;68;46;0;0;0
9;67;60;1;1;1
10;67;64;0;0;0
11;67;5;0;1;1
12;67;46;0;-1;0
13;67;45;-1;-1;-1
14;67;74;0;-1;-1
15;103;60;0;1;0
16;103;5;-1;-1;1
17;103;46;0;1;-1
18;103;4;1;1;1
19;103;3;0;1;1
20;103;45;0;1;-1
21;103;88;0;-1;1
22;103;64;1;1;1
24;107;60;1;1;1
25;107;64;1;1;1
26;44;81;1;1;1
27;44;90;0;1;0
28;70;28;1;1;0
29;70;7;0;0;0
30;70;4;0;0;-1
31;31;88;-1;-1;-1
32;31;48;-1;-1;-1
33;31;14;-1;-1;-1
34;82;46;0;0;0
35;23;66;-1;-1;-1
36;23;55;-1;-1;-1
37;82;4;-1;-1;-1
38;82;78;-1;-1;-1
39;82;28;-1;-1;-1
40;82;7;-1;-1;-1
41;82;88;-1;-1;-1
42;82;74;-1;-1;-1
44;60;55;1;1;1
45;60;64;1;0;1
46;60;58;0;1;0
47;15;51;-1;-1;-1
48;123;64;0;1;0
49;123;28;0;1;0
50;123;45;1;1;1
51;123;60;0;1;-1
52;123;3;0;1;0
53;123;58;0;0;0
54;123;4;0;1;0
55;123;78;0;0;0
56;21;58;1;1;0
57;26;89;1;1;1
58;21;14;1;1;1
59;21;66;1;1;0
61;83;34;1;1;1
62;83;39;0;0;0
63;83;29;1;1;0
64;108;76;1;1;1
65;108;62;0;1;0
66;108;37;1;1;0
67;108;86;0;0;0
68;108;87;0;1;0
69;108;85;1;0;1
70;108;9;0;0;-1
71;108;39;1;1;1
72;108;29;0;1;0
73;108;82;0;0;0
75;12;16;1;1;1
77;93;94;1;1;1
80;93;75;1;1;0
81;93;0;1;1;1
82;30;38;1;1;1
84;30;79;1;1;1
85;12;79;1;1;1
86;12;38;1;1;1
87;30;81;0;-1;0
88;93;68;1;1;1
91;30;68;-1;-1;-1
92;30;94;-1;-1;-1
93;30;93;-1;-1;-1
96;66;0;0;0;0
98;127;40;1;0;0
101;17;19;0;0;0
102;66;94;1;0;-1
104;17;16;-1;-1;0
105;66;68;0;1;0
106;100;40;1;0;-1
111;100;19;1;1;1
112;100;75;1;1;0
113;133;16;0;0;0
114;133;79;1;1;1
115;133;80;0;0;-1
116;133;68;-1;-1;-1
117;133;40;1;1;1
121;133;94;0;1;-1
124;72;59;1;0;1
125;72;81;-1;0;-1
127;26;60;-1;1;-1
129;26;48;1;1;1
130;23;58;-1;-1;-1
131;23;64;1;1;1
132;80;14;0;0;0
134;80;64;0;0;0
135;80;28;1;1;1
137;63;60;1;0;0
138;63;7;0;-1;0
